sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
AFTC09D22-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","9""",8x6.5,,,,,,122,3500,,,,,,
AFTC09F25-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","9""",8x170,,,,,,125.2,3500,,,,,,
AFTC09G24-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","9""",8x180,,,,,,124.1,3500,,,,,,
AFTC09R78-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","9""",6x5.5,,,,,,78.1,3500,,,,,,
AFTC09W87-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","9""",6x135,,,,,,87.1,3500,,,,,,
AFTC11D22-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","9""",8x6.5,,,,,,122,3500,,,,,,
AFTC11F25-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","9""",8x170,,,,,,125.2,3500,,,,,,
AFTC11G24-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","9""",8x180,,,,,,124.1,3500,,,,,,
AFTC11R78-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","9""",6x5.5,,,,,,78.1,3500,,,,,,
AFTC11W87-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","9""",6x135,,,,,,87.1,3500,,,,,,
AFTCB02D22-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","9""",8x6.5,,,,,,122,3500,,,,,,
AFTCB02F25-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","9""",8x170,,,,,,125.2,3500,,,,,,
AFTCB02G24-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","9""",8x180,,,,,,124.1,3500,,,,,,
AFTCB02R78-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","9""",6x5.5,,,,,,78.1,3500,,,,,,
AFTCB02W87-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","9""",6x135,,,,,,87.1,3500,,,,,,
AFTCF20D22-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","9""",8x6.5,,,,,,122,3500,,,,,,
AFTCF20F25-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","9""",8x170,,,,,,125.2,3500,,,,,,
AFTCF20G24-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","9""",8x180,,,,,,124.1,3500,,,,,,
AFTCF20R78-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","9""",6x5.5,,,,,,78.1,3500,,,,,,
AFTCF20W87-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","9""",6x135,,,,,,87.1,3500,,,,,,
AFTD09D22-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","10""",8x6.5,,,,,,122,3500,,,,,,
AFTD09F25-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","10""",8x170,,,,,,125.2,3500,,,,,,
AFTD09G24-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","10""",8x180,,,,,,124.1,3500,,,,,,
AFTD09R78-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","10""",6x5.5,,,,,,78.1,3500,,,,,,
AFTD09S72-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","10""",5x5.0,,,,,,71.5,3500,,,,,,
AFTD09W87-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2394.00,1795.52,"20""","10""",6x135,,,,,,87.1,3500,,,,,,
AFTD11D22-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","10""",8x6.5,,,,,,122,3640,,,,,,
AFTD11F25-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","10""",8x170,,,,,,125.2,3640,,,,,,
AFTD11G24-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","10""",8x180,,,,,,124.1,3640,,,,,,
AFTD11R78-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","10""",6x5.5,,,,,,78.1,2500,,,,,,
AFTD11S71-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","10""",5x5.0,,,,,,71.5,3500,,,,,,
AFTD11S72-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","10""",5x5.0,,,,,,71.5,2500,,,,,,
AFTD11W87-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2394.00,1795.52,"20""","10""",6x135,,,,,,87.1,2500,,,,,,
AFTD74LD22-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2394.00,1795.52,"20""","10""",8x6.5,,,,,,122,3640,,,,,,
AFTD74LF25-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2394.00,1795.52,"20""","10""",8x170,,,,,,125.2,3640,,,,,,
AFTD74LG24-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2394.00,1795.52,"20""","10""",8x180,,,,,,124.1,3640,,,,,,
AFTD74LR78-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2394.00,1795.52,"20""","10""",6x5.5,,,,,,78.1,2500,,,,,,
AFTD74LS72-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2394.00,1795.52,"20""","10""",5x5.0,,,,,,71.5,2500,,,,,,
AFTD74LW87-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2394.00,1795.52,"20""","10""",6x135,,,,,,87.1,2500,,,,,,
AFTD76LD22-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2394.00,1795.52,"20""","10""",8x6.5,,,,,,122,3640,,,,,,
AFTD76LF25-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2394.00,1795.52,"20""","10""",8x170,,,,,,125.2,3640,,,,,,
AFTD76LG24-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2394.00,1795.52,"20""","10""",8x180,,,,,,124.1,3640,,,,,,
AFTD76LR78-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2394.00,1795.52,"20""","10""",6x5.5,,,,,,78.1,2500,,,,,,
AFTD76LS72-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2394.00,1795.52,"20""","10""",5x5.0,,,,,,71.5,2500,,,,,,
AFTD76LW87-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2394.00,1795.52,"20""","10""",6x135,,,,,,87.1,2500,,,,,,
AFTDB02D22-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","10""",8x6.5,,,,,,122,3640,,,,,,
AFTDB02F25-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","10""",8x170,,,,,,125.2,3640,,,,,,
AFTDB02G24-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","10""",8x180,,,,,,124.1,3640,,,,,,
AFTDB02R78-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","10""",6x5.5,,,,,,78.1,2500,,,,,,
AFTDB02S72-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","10""",5x5.0,,,,,,71.5,2500,,,,,,
AFTDB02W87-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2394.00,1795.52,"20""","10""",6x135,,,,,,87.1,2500,,,,,,
AFTDF20D22-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","10""",8x6.5,,,,,,122,3500,,,,,,
AFTDF20F25-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","10""",8x170,,,,,,125.2,3500,,,,,,
AFTDF20G24-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","10""",8x180,,,,,,124.1,3500,,,,,,
AFTDF20R78-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","10""",6x5.5,,,,,,78.1,3500,,,,,,
AFTDF20S72-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","10""",5x5.0,,,,,,71.5,3500,,,,,,
AFTDF20W87-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2394.00,1795.52,"20""","10""",6x135,,,,,,87.1,3500,,,,,,
AFTE09D22-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2914.60,2185.96,"20""","12""",8x6.5,,,,,,122,3500,,,,,,
AFTE09F25-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2914.60,2185.96,"20""","12""",8x170,,,,,,125.2,3500,,,,,,
AFTE09G24-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2914.60,2185.96,"20""","12""",8x180,,,,,,124.1,3500,,,,,,
AFTE09R78-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2914.60,2185.96,"20""","12""",6x5.5,,,,,,78.1,3500,,,,,,
AFTE09W87-1-21,American Force,AFW 09 LIBERTY SS,https://images.wheelpros.com/hAW0091.png,2914.60,2185.96,"20""","12""",6x135,,,,,,87.1,3500,,,,,,
AFTE11D22-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2914.60,2185.96,"20""","12""",8x6.5,,,,,,122,3640,,,,,,
AFTE11F25-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2914.60,2185.96,"20""","12""",8x170,,,,,,125.2,3640,,,,,,
AFTE11G24-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2914.60,2185.96,"20""","12""",8x180,,,,,,124.1,3640,,,,,,
AFTE11R78-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2914.60,2185.96,"20""","12""",6x5.5,,,,,,78.1,2500,,,,,,
AFTE11S71-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2914.60,2185.96,"20""","12""",5x5.0,,,,,,71.5,2500,,,,,,
AFTE11S72-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2774.00,2080.52,"20""","12""",5x5.0,,,,,,71.5,3500,,,,,,
AFTE11W87-1-21,American Force,AFW 11 INDEPENDENCE SS,https://images.wheelpros.com/hAW0111.png,2914.60,2185.96,"20""","12""",6x135,,,,,,87.1,2500,,,,,,
AFTE74LD22-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2914.60,2185.96,"20""","12""",8x6.5,,,,,,122,3640,,,,,,
AFTE74LF25-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2914.60,2185.96,"20""","12""",8x170,,,,,,125.2,3640,,,,,,
AFTE74LG24-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2914.60,2185.96,"20""","12""",8x180,,,,,,124.1,3640,,,,,,
AFTE74LR78-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2914.60,2185.96,"20""","12""",6x5.5,,,,,,78.1,2500,,,,,,
AFTE74LS71-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2914.60,2185.96,"20""","12""",5x5.0,,,,,,71.5,2500,,,,,,
AFTE74LS72-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2774.00,2080.52,"20""","12""",5x5.0,,,,,,71.5,3500,,,,,,
AFTE74LW87-1-21,American Force,AFW 74 OCTANE SS,https://images.wheelpros.com/hAW0741L.png,2914.60,2185.96,"20""","12""",6x135,,,,,,87.1,2500,,,,,,
AFTE76LD22-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2914.60,2185.96,"20""","12""",8x6.5,,,,,,122,3640,,,,,,
AFTE76LF25-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2914.60,2185.96,"20""","12""",8x170,,,,,,125.2,3640,,,,,,
AFTE76LG24-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2914.60,2185.96,"20""","12""",8x180,,,,,,124.1,3640,,,,,,
AFTE76LR78-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2914.60,2185.96,"20""","12""",6x5.5,,,,,,78.1,2500,,,,,,
AFTE76LS71-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2914.60,2185.96,"20""","12""",5x5.0,,,,,,71.5,2500,,,,,,
AFTE76LW87-1-21,American Force,AFW 76 BLADE SS,https://images.wheelpros.com/hAW0761L.png,2914.60,2185.96,"20""","12""",6x135,,,,,,87.1,2500,,,,,,
AFTEB02D22-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2914.60,2185.96,"20""","12""",8x6.5,,,,,,122,3640,,,,,,
AFTEB02F25-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2914.60,2185.96,"20""","12""",8x170,,,,,,125.2,3640,,,,,,
AFTEB02G24-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2914.60,2185.96,"20""","12""",8x180,,,,,,124.1,3640,,,,,,
AFTEB02R78-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2914.60,2185.96,"20""","12""",6x5.5,,,,,,78.1,2500,,,,,,
AFTEB02S71-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2914.60,2185.96,"20""","12""",5x5.0,,,,,,71.5,2500,,,,,,
AFTEB02W87-1-21,American Force,AFW B02 TRAX SS,https://images.wheelpros.com/hAW0021.png,2914.60,2185.96,"20""","12""",6x135,,,,,,87.1,2500,,,,,,
AFTEF20D22-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2914.60,2185.96,"20""","12""",8x6.5,,,,,,122,3500,,,,,,
AFTEF20F25-1-21,American Force,AFW F20 ATOM SS,https://images.wheelpros.com/hAW0201.png,2914.60,2185.96,"20""","12""",8x170,,,,,,125.2,3500,,,,,,
