sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
AFTNCK20W87-5-21,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,5719.00,4439.24,"24""","12""",6x135,,,"Black,Milled",,,,,Yes,,,,,
AFTPCK20W87-1,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,6585.40,5089.04,"24""","14""",6x135,,,Polished ,,,,,Yes,,,,,
AFTPCK20W87-5-21,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,7117.40,5488.04,"24""","14""",6x135,,,"Black,Milled",,,,,Yes,,,,,
,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,7383.40,5687.56,"24""","16""",6x135,,,Polished ,,,,,Yes,,,,,
,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,7915.40,6086.56,"24""","16""",6x135,,,"Black,Milled",,,,,Yes,,,,,
AFTVCK20W87-1,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,10974.40,8380.80,"30""","16""",6x135,,,Polished ,,,,,Yes,,,,,
AFTVCK20W87-5-21,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,11506.40,8779.80,"30""","16""",6x135,,,"Black,Milled",,,,,Yes,,,,,
AFTECK20N77-1,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,3591.00,2843.28,"20""","12""",5x5.5,,,Polished ,,,,,Yes,,,,,
AFTECK20N77-5-21,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,4123.00,3242.24,"20""","12""",5x5.5,,,"Black,Milled",,,,,Yes,,,,,
AFTJCK20N77-1,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,3990.00,3142.48,"22""","12""",5x5.5,,,Polished ,,,,,Yes,,,,,
AFTJCK20N77-5-21,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,4522.00,3541.52,"22""","12""",5x5.5,,,"Black,Milled",,,,,Yes,,,,,
AFTKCK20N77-1,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,4389.00,3441.76,"22""","14""",5x5.5,,,Polished ,,,,,Yes,,,,,
AFTKCK20N77-5-21,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,4921.00,3840.76,"22""","14""",5x5.5,,,"Black,Milled",,,,,Yes,,,,,
,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,4788.00,3741.00,"22""","16""",5x5.5,,,Polished ,,,,,Yes,,,,,
,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,5320.00,4140.00,"22""","16""",5x5.5,,,"Black,Milled",,,,,Yes,,,,,
AFTNCK20N77-1,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,5187.00,4040.24,"24""","12""",5x5.5,,,Polished ,,,,,Yes,,,,,
AFTNCK20N77-5-21,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,5719.00,4439.24,"24""","12""",5x5.5,,,"Black,Milled",,,,,Yes,,,,,
AFTPCK20N77-1,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,6585.40,5089.04,"24""","14""",5x5.5,,,Polished ,,,,,Yes,,,,,
AFTPCK20N77-5-21,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,7117.40,5488.04,"24""","14""",5x5.5,,,"Black,Milled",,,,,Yes,,,,,
,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,7383.40,5687.56,"24""","16""",5x5.5,,,Polished ,,,,,Yes,,,,,
,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/04/WRAITH-CC-BLK.jpg,7915.40,6086.56,"24""","16""",5x5.5,,,"Black,Milled",,,,,Yes,,,,,
AFTVCK20N77-1,American Force,WRAITH,https://americanforcewheels.com/content/uploads/2020/03/CK20_WRAITH_CC.jpg,10974.40,8380.80,"30""","16""",5x5.5,,,Polished ,,,,,Yes,,,,,
