sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
351-7950BZ0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Bronze,5,0,,,,,,,,
351-7950SB0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Black,5,0,,,,,,,,
351-7950SG0,Vision Offroad,351,,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Grey,5,0,,,,,,,,
351-7970BZ0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Bronze,5,0,,,,,,,,
351-7970SB0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Black,5,0,,,,,,,,
351-7970SG0,Vision Offroad,351,,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Grey,5,0,,,,,,,,
351-7973BZ-12,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Bronze,4.5,-12,,,,,,,,
351-7973SB-12,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Black,4.5,-12,,,,,,,,
351-7973SG-12,Vision Offroad,351,,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Grey,4.5,-12,,,,,,,,
351-7981BZ0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Bronze,5,0,,,,,,,,
351-7981SB0,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Black,5,0,,,,,,,,
351-7981SG0,Vision Offroad,351,,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Grey,5,0,,,,,,,,
351-7983BZ-12,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Bronze,4.5,-12,,,,,,,,
351-7983BZ20,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Bronze,5.75,20,,,,,,,,
351-7983SB-12,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Black,4.5,-12,,,,,,,,
351-7983SB20,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-8lug-satin-black-16x8-500_8234.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Black,5.75,20,,,,,,,,
351-7983SG-12,Vision Offroad,351,,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Grey,4.5,-12,,,,,,,,
351-7983SG20,Vision Offroad,351,,688,491.24,"17""","9""","5x4.5,5x114.3",,,Satin Grey,5.75,20,,,,,,,,
351-7985BZ-12,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Bronze,4.5,-12,,,,,,,,
351-7985BZ20,Vision Offroad,351,https://images.iconfigurators.app/images/wheels/large/vision-flow-351-wheel-5lug-bronze-17x9-500_6822.png,688,491.24,"17""","9""","5x4.5,5x114.3",,,Bronze,5.75,20,,,,,,,,
