sku,brand,name,photo_url,price,cost,diameter,width,bolt_pattern,model,model_other,color,backspacing,offset,center_bore,load_rating,exposed_lugs,material,structure,style,number_of_spokes,year_introduced
MO96221287344N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1128.00,846.00,"20""","12""",8x170,,,,,,125.5,3640,,,,,,
MO96221287944N,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"20""","12""",8x170,,,,,,125.5,3640,,,,,,
MO96221288244N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1540.00,1155.00,"20""","12""",8x180,,,,,,124.2,3640,,,,,,
MO96221288344N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1128.00,846.00,"20""","12""",8x180,,,,,,124.2,3640,,,,,,
MO96221288944N,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"20""","12""",8x180,,,,,,124.2,3640,,,,,,
MO96222000218N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,0.00,0.00,"22""","10""",,,,,,,78.3,2500,,,,,,
MO96222000318N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,0.00,0.00,"22""","10""",,,,,,,78.3,2500,,,,,,
MO96222000918N,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"22""","10""",,,,,,,78.3,2500,,,,,,
MO96222035218N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1560.00,1170.00,"22""","10""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
MO96222035318N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1232.00,924.00,"22""","10""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
MO96222035418N,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"22""","10""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
MO96222035918N,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"22""","10""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
MO96222067218N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1560.00,1170.00,"22""","10""","6x135,5.5",,,,,,106.25,2500,,,,,,
MO96222067318N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1232.00,924.00,"22""","10""","6x135,5.5",,,,,,106.25,2500,,,,,,
MO96222067418N,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"22""","10""","6x135,5.5",,,,,,106.25,2500,,,,,,
MO96222067918N,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"22""","10""","6x135,5.5",,,,,,106.25,2500,,,,,,
MO96222080218N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1560.00,1170.00,"22""","10""",8x6.5,,,,,,125.5,3640,,,,,,
MO96222080318N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1232.00,924.00,"22""","10""",8x6.5,,,,,,125.5,3640,,,,,,
MO96222080418N,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"22""","10""",8x6.5,,,,,,125.5,3640,,,,,,
MO96222080918N,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"22""","10""",8x6.5,,,,,,125.5,3640,,,,,,
MO96222086918N,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"22""","10""","5x5.5,150",,,,,,110.5,2500,,,,,,
MO96222087218N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1560.00,1170.00,"22""","10""",8x170,,,,,,125.5,3640,,,,,,
MO96222087318N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1232.00,924.00,"22""","10""",8x170,,,,,,125.5,3640,,,,,,
MO96222087418N,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"22""","10""",8x170,,,,,,125.5,3640,,,,,,
MO96222088218N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1560.00,1170.00,"22""","10""",8x180,,,,,,124.2,3640,,,,,,
MO96222088318N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1232.00,924.00,"22""","10""",8x180,,,,,,124.2,3640,,,,,,
MO96222088418N,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"22""","10""",8x180,,,,,,124.2,3640,,,,,,
MO96222088918N,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"22""","10""",8x180,,,,,,124.2,3640,,,,,,
MO96222400276N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,0.00,0.00,"22""","14""",,,,,,,78.3,2500,,,,,,
MO96222400376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,0.00,0.00,"22""","14""",,,,,,,78.3,2500,,,,,,
MO96222400476N,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"22""","14""",,,,,,,78.3,2500,,,,,,
MO96222463376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,0.00,0.00,"22""","14""",6x135,,,,,,87.1,2500,,,,,,
MO96222468276N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,2152.00,1614.00,"22""","14""",6x5.5,,,,,,106.25,2500,,,,,,
MO96222468376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1744.00,1308.00,"22""","14""",6x5.5,,,,,,106.25,2500,,,,,,
MO96222468476N,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"22""","14""",6x5.5,,,,,,106.25,2500,,,,,,
MO96222480276N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,2152.00,1614.00,"22""","14""",8x6.5,,,,,,125.5,3640,,,,,,
MO96222480376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1744.00,1308.00,"22""","14""",8x6.5,,,,,,125.5,3640,,,,,,
MO96222480476N,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"22""","14""",8x6.5,,,,,,125.5,3640,,,,,,
MO96222486276N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,0.00,0.00,"22""","14""","5x5.5,150",,,,,,110.5,2500,,,,,,
MO96222486376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1744.00,1308.00,"22""","14""","5x5.5,150",,,,,,110.5,2500,,,,,,
MO96222487276N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,2152.00,1614.00,"22""","14""",8x170,,,,,,125.5,3640,,,,,,
MO96222487376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1744.00,1308.00,"22""","14""",8x170,,,,,,125.5,3640,,,,,,
MO96224400376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,0.00,0.00,"24""","14""",,,,,,,78.3,2500,,,,,,
MO96224467276N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,2420.00,1815.00,"24""","14""","6x135,5.5",,,,,,106.25,2500,,,,,,
MO96224467376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1744.00,1308.00,"24""","14""","6x135,5.5",,,,,,106.25,2500,,,,,,
MO96224480276N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,2420.00,1815.00,"24""","14""",8x6.5,,,,,,125.5,3640,,,,,,
MO96224480376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1744.00,1308.00,"24""","14""",8x6.5,,,,,,125.5,3640,,,,,,
MO96224487276N,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,2420.00,1815.00,"24""","14""",8x170,,,,,,125.5,3640,,,,,,
MO96224487376N,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1744.00,1308.00,"24""","14""",8x170,,,,,,125.5,3640,,,,,,
MO96229000200,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,0.00,0.00,"20""","9""",,,,,,,78.3,2500,,,,,,
MO96229000300,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,0.00,0.00,"20""","9""",,,,,,,78.3,2500,,,,,,
MO96229000400,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"20""","9""",,,,,,,78.3,2500,,,,,,
MO96229035200,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1284.00,963.00,"20""","9""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
MO96229035300,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1008.00,756.00,"20""","9""","5x5.0,5.5",,,,,,78.3,2500,,,,,,
MO96229063200,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1284.00,963.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
MO96229063300,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1008.00,756.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
MO96229063400,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
MO96229063900,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"20""","9""",6x135,,,,,,87.1,2500,,,,,,
MO96229068200,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1284.00,963.00,"20""","9""",6x5.5,,,,,,106.25,2500,,,,,,
MO96229068300,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1008.00,756.00,"20""","9""",6x5.5,,,,,,106.25,2500,,,,,,
MO96229068900,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"20""","9""",6x5.5,,,,,,106.25,2500,,,,,,
MO96229080200,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1284.00,963.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
MO96229080300,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1008.00,756.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
MO96229080400,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"20""","9""",8x6.5,,,,,,125.5,3640,,,,,,
MO96229080900,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"20""","9""",8x6.5,,,,,,125.5,3600,,,,,,
MO96229086200,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1284.00,963.00,"20""","9""","5x5.5,150",,,,,,110.5,2500,,,,,,
MO96229086300,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1008.00,756.00,"20""","9""","5x5.5,150",,,,,,110.5,2500,,,,,,
MO96229086400,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"20""","9""","5x5.5,150",,,,,,110.5,2500,,,,,,
MO96229086900,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"20""","9""","5x5.5,150",,,,,,110.5,2500,,,,,,
MO96229087200,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1284.00,963.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
MO96229087300,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1008.00,756.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
MO96229087400,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"20""","9""",8x170,,,,,,125.5,3640,,,,,,
MO96229087900,Moto Metal,MO962,https://images.wheelpros.com/hMO9629.png,0.00,0.00,"20""","9""",8x170,,,,,,125.5,3600,,,,,,
MO96229088200,Moto Metal,MO962,https://images.wheelpros.com/hMO9622.png,1284.00,963.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
MO96229088300,Moto Metal,MO962,https://images.wheelpros.com/hMO9623.png,1008.00,756.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
MO96229088400,Moto Metal,MO962,https://images.wheelpros.com/hMO9624.png,0.00,0.00,"20""","9""",8x180,,,,,,124.2,3640,,,,,,
